g Engine
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
f 1000.00000000000000
